customer_id,purchase_flequency
CS040214000008,23
CS010214000010,22
CS015415000185,22
CS010214000002,21
CS028415000007,21
CS007515000107,20
CS016415000141,20
CS017415000097,20
CS021514000045,20
CS014214000023,19
CS014415000077,19
CS021515000172,19
CS022515000226,19
CS031414000051,19
CS031414000073,19
CS032415000209,19
CS039414000052,19
CS021514000008,18
CS021515000056,18
CS021515000101,18
CS021515000211,18
CS022515000028,18
CS030214000008,18
CS007515000167,17
CS009414000059,17
CS009415000085,17
CS012414000097,17
CS014415000088,17
CS015415000041,17
CS016414000026,17
CS018415000072,17
CS018415000234,17
CS019414000013,17
CS021515000069,17
CS021515000143,17
CS022515000150,17
CS028214000013,17
CS028515000100,17
CS031414000041,17
CS031414000059,17
CS031415000188,17
CS037415000243,17
CS006515000141,16
CS007115000006,16
CS008414000053,16
CS008415000059,16
CS009415000038,16
CS009415000075,16
CS009415000130,16
CS010414000015,16
CS010415000057,16
CS011414000106,16
CS011415000057,16
CS012515000039,16
CS013415000236,16
CS014415000172,16
CS015415000003,16
CS017415000193,16
CS019214000015,16
CS019415000106,16
CS019415000147,16
CS019415000178,16
CS022515000188,16
CS023515000167,16
CS023515000170,16
CS026515000058,16
CS027414000084,16
CS029414000050,16
CS031415000177,16
CS032415000107,16
CS032415000205,16
CS033415000146,16
CS037415000161,16
CS038415000123,16
CS039214000007,16
CS040515000089,16
CS006414000037,15
CS006515000023,15
CS007515000053,15
CS007515000170,15
CS008414000048,15
CS008415000073,15
CS010414000063,15
CS010414000083,15
CS012415000043,15
CS013415000041,15
CS013415000132,15
CS013415000214,15
CS015415000068,15
CS016415000068,15
CS018414000052,15
CS018415000131,15
CS020415000261,15
CS021515000096,15
CS021515000170,15
CS023414000103,15
CS024414000101,15
CS028414000005,15
CS028415000086,15
CS029214000004,15
CS029415000054,15
CS029415000098,15
CS029415000109,15
CS029415000222,15
CS030415000264,15
CS032414000062,15
CS032415000222,15
CS035415000037,15
CS035415000153,15
CS039414000041,15
CS041411000001,15
CS006415000113,14
CS006415000147,14
CS007515000228,14
CS008415000077,14
CS008415000263,14
CS009415000088,14
CS009415000188,14
CS010414000008,14
CS010414000031,14
CS010415000129,14
CS010515000120,14
CS011415000107,14
CS012605000011,14
CS013214000003,14
CS013415000066,14
CS014214000013,14
CS014414000120,14
CS014415000201,14
CS015415000018,14
CS016415000019,14
CS016415000094,14
CS017414000048,14
CS018414000080,14
CS018415000239,14
CS019415000064,14
CS020214000001,14
CS020414000028,14
CS020415000008,14
CS021514000038,14
CS021514000046,14
CS021514000073,14
CS021515000055,14
CS021515000126,14
CS021515000154,14
CS022515000065,14
CS022515000107,14
CS022515000113,14
CS022515000184,14
CS023214000011,14
CS023414000057,14
CS023415000240,14
CS023515000135,14
CS023515000234,14
CS024414000044,14
CS024415000206,14
CS025414000061,14
CS025414000112,14
CS026414000060,14
CS026414000062,14
CS026515000031,14
CS027414000022,14
CS028415000057,14
CS029415000209,14
CS030415000024,14
CS030415000028,14
CS030415000209,14
CS031414000028,14
CS031414000048,14
CS032415000228,14
CS033415000085,14
CS033415000239,14
CS034415000047,14
CS035415000213,14
CS037415000079,14
CS037415000142,14
CS037415000179,14
CS037415000213,14
CS038415000040,14
CS038415000071,14
CS038415000104,14
CS038415000191,14
CS040414000077,14
CS041414000001,14
CS005415000212,13
CS006214000005,13
CS006515000125,13
CS007514000094,13
CS007515000083,13
CS007515000119,13
CS007515000171,13
CS007515000183,13
CS008414000033,13
CS008415000145,13
CS009415000117,13
CS009415000148,13
CS010414000049,13
CS010414000096,13
CS011415000041,13
CS012414000027,13
CS012415000038,13
CS012415000096,13
CS012415000111,13
CS012415000138,13
CS012415000211,13
CS012415000257,13
CS012515000144,13
CS012515000198,13
CS013415000012,13
CS013415000042,13
CS013515000038,13
CS014415000151,13
CS016414000006,13
CS016414000102,13
CS016415000070,13
CS016415000080,13
CS016515000071,13
CS017414000066,13
CS017415000075,13
CS018214000015,13
CS018414000001,13
CS018414000049,13
CS018414000065,13
CS018415000035,13
CS018415000198,13
CS019414000012,13
CS019414000068,13
CS020214000020,13
CS020415000024,13
CS020415000167,13
CS021515000089,13
CS022214000021,13
CS022515000012,13
CS023414000088,13
CS023415000102,13
CS023415000247,13
CS024214000020,13
CS024414000099,13
CS024415000006,13
CS024415000045,13
CS024415000048,13
CS025414000025,13
CS025415000205,13
CS025515000065,13
CS026414000079,13
CS026414000097,13
CS026415000172,13
CS028414000061,13
CS028415000161,13
CS029414000042,13
CS029414000065,13
CS029414000125,13
CS029415000078,13
CS029415000126,13
CS029415000217,13
CS030414000026,13
CS030414000089,13
CS030415000034,13
CS031415000091,13
CS031415000146,13
CS032214000014,13
CS032414000072,13
CS032414000107,13
CS032414000109,13
CS032415000033,13
CS032415000122,13
CS032415000156,13
CS033414000006,13
CS033414000114,13
CS033515000093,13
CS034415000121,13
CS035415000029,13
CS035415000071,13
CS035415000072,13
CS035415000099,13
CS035415000184,13
CS037414000026,13
CS037414000073,13
CS037414000074,13
CS037415000094,13
CS037415000100,13
CS038414000104,13
CS038415000117,13
CS038415000233,13
CS039214000014,13
CS039415000039,13
CS039415000129,13
CS039415000220,13
CS040414000074,13
CS040515000174,13
CS040515000225,13
CS041515000001,13
CS006415000107,12
CS007515000014,12
CS007615000063,12
CS008414000056,12
CS008414000097,12
CS008414000111,12
CS008415000057,12
CS008415000214,12
CS009414000047,12
CS009414000109,12
CS009415000190,12
CS009515000002,12
CS009604000006,12
CS010415000215,12
CS010415000253,12
CS010515000129,12
CS011414000012,12
CS011414000050,12
CS011415000059,12
CS011415000157,12
CS012415000253,12
CS012515000171,12
CS013414000137,12
CS013414000138,12
CS013415000035,12
CS013415000136,12
CS013415000180,12
CS013415000204,12
CS014414000001,12
CS014414000032,12
CS014414000067,12
CS014414000108,12
CS014415000016,12
CS014415000031,12
CS014415000045,12
CS014415000075,12
CS014415000215,12
CS014515000129,12
CS015414000100,12
CS015415000124,12
CS015415000138,12
CS016214000008,12
CS016414000063,12
CS016415000101,12
CS016415000219,12
CS016515000135,12
CS017214000005,12
CS017414000073,12
CS017415000003,12
CS017415000083,12
CS017415000165,12
CS017515000138,12
CS017815000013,12
CS019214000006,12
CS019414000098,12
CS019414000118,12
CS019415000028,12
CS019415000062,12
CS020414000112,12
CS020415000077,12
CS020415000173,12
CS020415000197,12
CS021514000082,12
CS021515000039,12
CS021515000108,12
CS021515000137,12
CS021515000153,12
CS021515000208,12
CS022414000018,12
CS022414000122,12
CS022514000082,12
CS022515000145,12
CS022515000172,12
CS023414000036,12
CS023515000114,12
CS024415000038,12
CS024415000041,12
CS024415000098,12
CS024415000195,12
CS024415000238,12
CS024415000256,12
CS025414000094,12
CS025415000048,12
CS025415000149,12
CS025415000224,12
CS026414000010,12
CS026414000059,12
CS026415000019,12
CS026415000242,12
CS026515000043,12
CS026515000092,12
CS026515000169,12
CS026515000200,12
CS026515000201,12
CS027415000237,12
CS027515000009,12
CS027515000063,12
CS027515000082,12
CS028414000006,12
CS028415000072,12
CS028415000100,12
CS028515000080,12
CS028515000122,12
CS029415000050,12
CS029415000089,12
CS029415000224,12
CS030415000146,12
CS031415000075,12
CS031415000086,12
CS031415000122,12
CS031415000148,12
CS032414000031,12
CS032414000119,12
CS032415000199,12
CS032415000200,12
CS033414000061,12
CS033415000019,12
CS033415000204,12
CS033415000262,12
CS033515000117,12
CS034414000030,12
CS034415000078,12
CS034415000173,12
CS034515000181,12
CS035414000047,12
CS035415000174,12
CS037214000004,12
CS037414000080,12
CS037415000010,12
CS037415000047,12
CS037415000252,12
CS038414000013,12
CS038415000076,12
CS038415000183,12
CS039414000084,12
CS039415000260,12
CS040515000011,12
CS044414000004,12
CS001605000006,11
CS005414000003,11
CS006214000001,11
CS006515000061,11
CS006515000067,11
CS006515000109,11
CS006515000150,11
CS007514000056,11
CS007514000086,11
CS007514000103,11
CS007515000050,11
CS007515000204,11
CS007615000035,11
CS008415000046,11
CS008415000139,11
CS008415000264,11
CS009414000041,11
CS009415000047,11
CS009415000051,11
CS009415000128,11
CS009415000214,11
CS010415000081,11
CS011415000006,11
CS011415000163,11
CS011415000173,11
CS011415000192,11
CS011515000074,11
CS012214000018,11
CS012414000068,11
CS012415000154,11
CS012415000192,11
CS012515000012,11
CS012515000192,11
CS013414000139,11
CS013415000089,11
CS013415000157,11
CS013415000159,11
CS013415000176,11
CS013515000102,11
CS013515000164,11
CS013515000176,11
CS014414000076,11
CS014414000116,11
CS014415000021,11
CS014415000122,11
CS014515000007,11
CS015214000012,11
CS015414000058,11
CS015414000098,11
CS015415000061,11
CS015415000222,11
CS016214000027,11
CS016414000110,11
CS016415000140,11
CS016415000193,11
CS016415000215,11
CS017414000056,11
CS017415000033,11
CS017604000001,11
CS017815000020,11
CS018414000044,11
CS018414000086,11
CS018415000064,11
CS018515000099,11
CS018515000137,11
CS018515000204,11
CS019215000046,11
CS019414000053,11
CS019415000005,11
CS019415000015,11
CS019415000123,11
CS020414000070,11
CS020415000012,11
CS020415000017,11
CS020415000153,11
CS021615000146,11
CS022515000051,11
CS022515000115,11
CS022515000222,11
CS023414000087,11
CS023414000090,11
CS023415000047,11
CS023515000150,11
CS023515000195,11
CS024414000056,11
CS024414000116,11
CS024415000005,11
CS024415000049,11
CS024415000146,11
CS025214000016,11
CS025414000015,11
CS025415000029,11
CS025415000179,11
CS025415000274,11
CS025515000041,11
CS025515000090,11
CS026414000041,11
CS026414000043,11
CS026415000069,11
CS026515000038,11
CS026515000046,11
CS026515000089,11
CS026515000148,11
CS027414000009,11
CS027414000012,11
CS027414000082,11
CS027415000012,11
CS028414000108,11
CS028415000115,11
CS028415000181,11
CS029214000010,11
CS029414000020,11
CS029415000117,11
CS029415000162,11
CS029415000215,11
CS030414000095,11
CS030415000029,11
CS030415000218,11
CS030415000223,11
CS031214000003,11
CS031415000227,11
CS032414000051,11
CS032414000110,11
CS032415000002,11
CS032415000112,11
CS032415000165,11
CS033414000040,11
CS033414000053,11
CS033414000064,11
CS033515000112,11
CS033515000125,11
CS033515000193,11
CS033515000200,11
CS034414000039,11
CS034415000196,11
CS034415000206,11
CS034415000223,11
CS034515000073,11
CS035214000011,11
CS035414000024,11
CS035415000168,11
CS035415000205,11
CS035415000239,11
CS037414000097,11
CS037415000088,11
CS037415000165,11
CS037415000191,11
CS037515000097,11
CS037515000115,11
CS037515000175,11
CS038414000028,11
CS038415000202,11
CS039415000065,11
CS039415000187,11
CS039415000189,11
CS039415000197,11
CS040214000006,11
CS040414000016,11
CS040414000109,11
CS040415000121,11
CS040415000232,11
CS040515000015,11
CS044415000001,11
CS005414000090,10
CS005415000137,10
CS005605000009,10
CS006214000021,10
CS006414000001,10
CS006414000017,10
CS006415000053,10
CS006415000105,10
CS006415000187,10
CS006515000072,10
CS006515000083,10
CS006515000209,10
CS007515000166,10
CS007515000212,10
CS007515000232,10
CS008414000006,10
CS008414000051,10
CS008414000063,10
CS008414000094,10
CS008415000015,10
CS008415000049,10
CS008415000072,10
CS008415000202,10
CS009214000004,10
CS009414000082,10
CS009414000110,10
CS009415000024,10
CS009415000136,10
CS009515000068,10
CS009815000003,10
CS010414000016,10
CS010414000022,10
CS010414000062,10
CS010414000070,10
CS010415000017,10
CS010415000034,10
CS010415000121,10
CS010415000132,10
CS010415000147,10
CS010415000293,10
CS010415000318,10
CS010515000144,10
CS011414000026,10
CS011415000092,10
CS011415000160,10
CS011415000253,10
CS011515000207,10
CS011515000223,10
CS012414000086,10
CS012415000018,10
CS012415000053,10
CS012415000144,10
CS012415000203,10
CS012515000143,10
CS012515000147,10
CS012515000187,10
CS013414000025,10
CS013414000102,10
CS013415000077,10
CS013415000131,10
CS013415000158,10
CS013415000162,10
CS013415000193,10
CS013515000143,10
CS013515000188,10
CS014414000034,10
CS014415000032,10
CS015414000118,10
CS015415000019,10
CS015415000034,10
CS015415000080,10
CS015415000098,10
CS015515000227,10
CS015515000239,10
CS016414000099,10
CS016415000069,10
CS016415000116,10
CS016415000195,10
CS016415000228,10
CS016515000125,10
CS017414000002,10
CS017414000039,10
CS017414000110,10
CS017415000223,10
CS017415000243,10
CS018214000016,10
CS018414000024,10
CS018414000039,10
CS018415000147,10
CS018415000248,10
CS018515000029,10
CS018515000047,10
CS018515000090,10
CS018515000214,10
CS019205000003,10
CS019414000089,10
CS019414000099,10
CS019415000154,10
CS019415000255,10
CS019515000163,10
CS019515000198,10
CS020414000047,10
CS020414000052,10
CS020414000078,10
CS020415000041,10
CS020415000207,10
CS020415000250,10
CS020605000006,10
CS021514000101,10
CS021515000011,10
CS021515000169,10
CS022414000086,10
CS022414000106,10
CS022514000051,10
CS022515000119,10
CS022515000191,10
CS023214000005,10
CS023414000025,10
CS023414000040,10
CS023515000032,10
CS024414000050,10
CS024414000072,10
CS024414000092,10
CS024415000131,10
CS024415000186,10
CS024515000217,10
CS025304000004,10
CS025414000016,10
CS025414000093,10
CS025415000056,10
CS025415000069,10
CS025415000188,10
CS025415000236,10
CS025415000261,10
CS025515000184,10
CS026414000014,10
CS026414000022,10
CS026414000051,10
CS026414000074,10
CS026414000091,10
CS026415000092,10
CS026415000141,10
CS026415000150,10
CS026415000231,10
CS026415000247,10
CS026515000010,10
CS027414000014,10
CS027414000020,10
CS027414000023,10
CS027414000024,10
CS027414000030,10
CS027415000082,10
CS027515000074,10
CS027515000123,10
CS027515000143,10
CS028214000018,10
CS028414000040,10
CS028414000087,10
CS028415000015,10
CS028415000049,10
CS028415000061,10
CS028515000094,10
CS028515000156,10
CS028515000172,10
CS028515000217,10
CS029414000115,10
CS029414000129,10
CS029415000141,10
CS029415000216,10
CS029415000243,10
CS029515000120,10
CS029515000188,10
CS030414000048,10
CS030414000082,10
CS030415000050,10
CS030415000056,10
CS030415000061,10
CS030415000197,10
CS030515000075,10
CS030515000094,10
CS031214000026,10
CS031414000055,10
CS031414000090,10
CS031415000092,10
CS031415000106,10
CS031515000131,10
CS032414000003,10
CS032414000024,10
CS032414000045,10
CS032414000093,10
CS032415000016,10
CS032415000065,10
CS032415000079,10
CS032415000120,10
CS032415000131,10
CS032415000185,10
CS032415000213,10
CS032515000079,10
CS032515000190,10
CS033414000010,10
CS033414000058,10
CS033414000091,10
CS033415000095,10
CS033515000130,10
CS034414000041,10
CS034415000071,10
CS034415000253,10
CS034515000020,10
CS034515000182,10
CS034605000007,10
CS035215000015,10
CS035414000008,10
CS035414000013,10
CS035414000020,10
CS035414000064,10
CS035414000071,10
CS035415000034,10
CS035415000079,10
CS037414000061,10
CS037415000097,10
CS037415000204,10
CS037515000106,10
CS038214000019,10
CS038305000002,10
CS038414000106,10
CS038415000142,10
CS038415000147,10
CS038415000181,10
CS038415000190,10
CS038515000211,10
CS039414000025,10
CS039415000041,10
CS039415000073,10
CS039515000204,10
CS040414000058,10
CS040414000073,10
CS040415000035,10
CS040415000045,10
CS040415000116,10
CS040415000145,10
CS040515000008,10
CS040515000064,10
CS044415000006,10
CS001605000009,9
CS004415000355,9
CS005414000069,9
CS005415000080,9
CS005515000216,9
CS006214000032,9
CS006414000029,9
CS006415000030,9
CS006415000069,9
CS006415000203,9
CS006515000053,9
CS006515000158,9
CS006515000183,9
CS006605000002,9
CS007515000037,9
CS007515000084,9
CS007515000182,9
CS007615000013,9
CS007615000026,9
CS007615000046,9
CS007615000076,9
CS007615000115,9
CS008214000028,9
CS008414000040,9
CS008414000057,9
CS008414000114,9
CS008415000105,9
CS008415000161,9
CS008415000176,9
CS008415000201,9
CS008415000221,9
CS008415000273,9
CS008515000065,9
CS008515000180,9
CS008815000010,9
CS009205000002,9
CS009414000066,9
CS009415000022,9
CS009415000080,9
CS009415000156,9
CS009515000039,9
CS009515000147,9
CS010414000100,9
CS010415000124,9
CS010415000186,9
CS010415000251,9
CS010514000061,9
CS011214000015,9
CS011414000035,9
CS011414000098,9
CS011414000111,9
CS011415000005,9
CS011415000008,9
CS011415000099,9
CS011415000162,9
CS011415000188,9
CS011415000195,9
CS011515000057,9
CS011515000111,9
CS011814000006,9
CS012415000030,9
CS012415000083,9
CS012415000145,9
CS012515000002,9
CS012515000203,9
CS013414000030,9
CS013415000002,9
CS013415000059,9
CS013415000064,9
CS013415000137,9
CS013515000134,9
CS014214000024,9
CS014414000063,9
CS014414000086,9
CS014415000030,9
CS014415000037,9
CS014514000004,9
CS014515000085,9
CS014515000086,9
CS014515000092,9
CS015214000015,9
CS015414000001,9
CS015414000135,9
CS015415000036,9
CS015415000069,9
CS015415000077,9
CS015415000149,9
CS015415000186,9
CS015415000236,9
CS015515000059,9
CS015515000129,9
CS015815000013,9
CS016415000011,9
CS016415000013,9
CS016415000042,9
CS016415000063,9
CS016415000114,9
CS016415000178,9
CS016515000119,9
CS016515000182,9
CS017414000086,9
CS017414000097,9
CS017414000114,9
CS017415000071,9
CS017415000125,9
CS017415000158,9
CS017415000187,9
CS017415000244,9
CS017515000002,9
CS018414000008,9
CS018414000084,9
CS018414000108,9
CS018415000122,9
CS018415000158,9
CS018415000178,9
CS018415000213,9
CS018415000246,9
CS018515000041,9
CS018515000169,9
CS019214000026,9
CS019304000003,9
CS019415000017,9
CS019415000084,9
CS019415000086,9
CS019415000210,9
CS019415000246,9
CS019604000003,9
CS020214000023,9
CS020215000024,9
CS020414000031,9
CS020414000084,9
CS020414000094,9
CS020414000115,9
CS020415000019,9
CS020415000254,9
CS020815000007,9
CS021115000004,9
CS021514000070,9
CS021515000239,9
CS021615000033,9
CS021615000081,9
CS021615000133,9
CS022115000002,9
CS022515000193,9
CS023415000083,9
CS023515000039,9
CS023515000089,9
CS023515000111,9
CS023515000166,9
CS023515000220,9
CS024214000009,9
CS024414000006,9
CS024415000072,9
CS024415000129,9
CS024415000152,9
CS024515000096,9
CS024515000097,9
CS024515000099,9
CS024515000202,9
CS025414000101,9
CS025415000022,9
CS025415000025,9
CS025415000050,9
CS025415000221,9
CS025415000246,9
CS025415000265,9
CS025515000057,9
CS025515000084,9
CS025515000183,9
CS026414000039,9
CS026415000070,9
CS026415000149,9
CS026415000178,9
CS026415000268,9
CS026515000042,9
CS026515000168,9
CS027414000018,9
CS027414000042,9
CS027414000118,9
CS027414000140,9
CS027415000052,9
CS027415000053,9
CS027415000075,9
CS027514000048,9
CS027515000231,9
CS027515000236,9
CS028414000014,9
CS028414000049,9
CS028414000057,9
CS028415000215,9
CS028415000226,9
CS028515000029,9
CS028515000043,9
CS028515000093,9
CS028515000128,9
CS028515000149,9
CS028814000006,9
CS029305000010,9
CS029414000088,9
CS029415000018,9
CS029415000023,9
CS029415000093,9
CS029415000194,9
CS029515000141,9
CS030414000102,9
CS030415000064,9
CS030415000159,9
CS030415000210,9
CS030515000036,9
CS030515000064,9
CS030515000078,9
CS030515000196,9
CS031414000033,9
CS031414000049,9
CS031415000045,9
CS031415000065,9
CS031415000222,9
CS031415000228,9
CS031415000231,9
CS031515000089,9
CS032314000026,9
CS032414000103,9
CS032415000080,9
CS032415000159,9
CS032415000195,9
CS032515000021,9
CS032515000080,9
CS032515000101,9
CS033414000084,9
CS033414000115,9
CS033415000040,9
CS033415000058,9
CS033415000154,9
CS033415000196,9
CS033415000229,9
CS033415000246,9
CS033415000249,9
CS033515000159,9
CS033515000201,9
CS033605000005,9
CS034214000002,9
CS034414000015,9
CS034414000064,9
CS034415000038,9
CS034415000166,9
CS034515000124,9
CS035215000038,9
CS035414000040,9
CS035415000159,9
CS035415000229,9
CS037414000047,9
CS037415000055,9
CS037415000114,9
CS037415000134,9
CS037415000229,9
CS037415000254,9
CS037515000165,9
CS038304000003,9
CS038414000109,9
CS038415000047,9
CS038515000128,9
CS038515000197,9
CS039414000098,9
CS039415000195,9
CS040414000069,9
CS040414000115,9
CS040415000200,9
CS040415000233,9
CS040515000214,9
CS041514000002,9
CS041515000003,9
CS042515000008,9
CS001305000005,8
CS001414000048,8
CS001414000172,8
CS002214000043,8
CS002414000211,8
CS002414000213,8
CS002415000150,8
CS003415000219,8
CS003605000005,8
CS005214000025,8
CS005414000058,8
CS005414000110,8
CS006215000011,8
CS006415000060,8
CS006415000154,8
CS006415000206,8
CS006415000221,8
CS006415000256,8
CS006605000001,8
CS007615000068,8
CS007615000083,8
CS008204000002,8
CS008314000069,8
CS008415000018,8
CS008415000120,8
CS008415000213,8
CS008415000226,8
CS008515000026,8
CS008515000153,8
CS009214000002,8
CS009215000026,8
CS009304000006,8
CS009314000030,8
CS009414000010,8
CS009414000022,8
CS009414000069,8
CS009414000123,8
CS009415000049,8
CS009415000090,8
CS009415000112,8
CS009415000127,8
CS009415000144,8
CS009415000230,8
CS009415000236,8
CS009515000018,8
CS009515000089,8
CS009515000110,8
CS010415000009,8
CS010415000078,8
CS010415000104,8
CS010415000134,8
CS010415000170,8
CS010415000213,8
CS010415000232,8
CS010415000240,8
CS010415000246,8
CS010515000015,8
CS010515000076,8
CS011414000022,8
CS011414000094,8
CS011415000025,8
CS011415000056,8
CS011415000076,8
CS011415000193,8
CS011515000131,8
CS012214000019,8
CS012214000026,8
CS012414000006,8
CS012415000147,8
CS012514000018,8
CS012515000013,8
CS012515000028,8
CS012515000180,8
CS012515000190,8
CS012515000212,8
CS013215000047,8
CS013414000014,8
CS013414000079,8
CS013415000025,8
CS013415000028,8
CS013415000053,8
CS013415000090,8
CS013415000143,8
CS013515000153,8
CS014414000069,8
CS014414000081,8
CS014415000001,8
CS014415000087,8
CS014415000113,8
CS014515000063,8
CS014515000067,8
CS014515000098,8
CS015215000021,8
CS015215000027,8
CS015414000026,8
CS015414000061,8
CS015415000120,8
CS015415000121,8
CS015415000170,8
CS015415000174,8
CS015415000188,8
CS015515000226,8
CS016204000003,8
CS016205000001,8
CS016215000049,8
CS016415000145,8
CS016415000170,8
CS016415000250,8
CS016515000072,8
CS016515000226,8
CS017215000012,8
CS017414000093,8
CS017414000118,8
CS017415000099,8
CS017415000105,8
CS017415000200,8
CS017515000089,8
CS017515000174,8
CS017515000178,8
CS018214000022,8
CS018414000075,8
CS018415000039,8
CS018415000141,8
CS018415000190,8
CS018515000012,8
CS018515000016,8
CS018515000021,8
CS018515000088,8
CS018515000114,8
CS018515000132,8
CS018515000176,8
CS018515000185,8
CS019214000001,8
CS019214000020,8
CS019314000044,8
CS019414000047,8
CS019414000084,8
CS019414000109,8
CS019414000113,8
CS019415000076,8
CS019415000117,8
CS019415000193,8
CS019515000046,8
CS019605000001,8
CS019814000010,8
CS020414000081,8
CS020415000096,8
CS020415000143,8
CS020415000187,8
CS020415000211,8
CS020515000054,8
CS020515000073,8
CS020515000228,8
CS021511000041,8
CS021515000189,8
CS021515000245,8
CS021615000042,8
CS021615000045,8
CS022414000076,8
CS022415000122,8
CS022514000041,8
CS022515000128,8
CS023414000011,8
CS023414000072,8
CS023415000040,8
CS023415000050,8
CS023415000081,8
CS023515000102,8
CS023515000153,8
CS024214000013,8
CS024414000088,8
CS024414000094,8
CS024414000120,8
CS024415000002,8
CS024415000108,8
CS024515000002,8
CS024515000008,8
CS024515000021,8
CS024515000089,8
CS024515000112,8
CS025414000027,8
CS025415000008,8
CS025415000163,8
CS025415000191,8
CS025415000208,8
CS025515000140,8
CS025515000161,8
CS026115000005,8
CS026214000026,8
CS026414000104,8
CS026415000057,8
CS026415000123,8
CS026415000175,8
CS026415000187,8
CS026514000036,8
CS026515000007,8
CS026515000081,8
CS026515000130,8
CS026515000153,8
CS027214000015,8
CS027414000083,8
CS027414000106,8
CS027414000109,8
CS027414000113,8
CS027415000030,8
CS027415000081,8
CS027415000109,8
CS027415000167,8
CS027415000218,8
CS027515000019,8
CS027515000045,8
CS027515000056,8
CS027515000151,8
CS027515000220,8
CS028415000194,8
CS028513000141,8
CS028515000110,8
CS028515000186,8
CS028515000191,8
CS029305000006,8
CS029414000029,8
CS029414000035,8
CS029414000060,8
CS029414000118,8
CS029415000041,8
CS029415000248,8
CS029514000059,8
CS029515000100,8
CS030214000022,8
CS030415000016,8
CS030415000027,8
CS030415000107,8
CS030515000006,8
CS030515000060,8
CS030515000082,8
CS030515000085,8
CS030515000108,8
CS030515000158,8
CS030515000161,8
CS030515000189,8
CS031414000044,8
CS031415000096,8
CS031415000181,8
CS031515000016,8
CS031515000093,8
CS031515000125,8
CS031515000138,8
CS031515000190,8
CS031605000007,8
CS032215000028,8
CS032414000091,8
CS032414000114,8
CS032415000182,8
CS032415000202,8
CS032515000017,8
CS032515000151,8
CS032515000168,8
CS033414000002,8
CS033414000018,8
CS033415000201,8
CS033415000244,8
CS033415000251,8
CS033415000266,8
CS033515000010,8
CS033515000071,8
CS033515000095,8
CS033515000157,8
CS034214000011,8
CS034214000029,8
CS034414000077,8
CS034414000102,8
CS034415000122,8
CS034415000192,8
CS034515000091,8
CS034515000123,8
CS034515000219,8
CS035414000054,8
CS035415000008,8
CS035515000201,8
CS037215000046,8
CS037414000008,8
CS037415000214,8
CS037515000074,8
CS037515000118,8
CS037515000133,8
CS037515000148,8
CS038215000021,8
CS038414000004,8
CS038414000076,8
CS038414000127,8
CS038415000060,8
CS038415000077,8
CS038515000009,8
CS038515000193,8
CS038814000001,8
CS039215000003,8
CS039414000019,8
CS039414000035,8
CS039414000121,8
CS039514000073,8
CS039515000083,8
CS040414000062,8
CS040415000013,8
CS040415000033,8
CS040415000066,8
CS040415000070,8
CS040415000112,8
CS040415000139,8
CS040415000178,8
CS040415000213,8
CS040415000220,8
CS040514000016,8
CS040515000001,8
CS040515000065,8
CS041115000001,8
CS041515000008,8
CS043415000010,8
CS001214000009,7
CS001414000126,7
CS002414000059,7
CS002414000070,7
CS002415000053,7
CS002415000239,7
CS003415000115,7
CS003515000070,7
CS003605000007,7
CS004415000150,7
CS004415000204,7
CS004415000227,7
CS004415000269,7
CS005414000033,7
CS005414000079,7
CS005414000096,7
CS005415000025,7
CS005415000066,7
CS005415000097,7
CS005415000105,7
CS005415000199,7
CS005515000080,7
